COMMON_NAME,SCIENTIFIC_NAME,order,family
Red-billed Tropicbird,Phaethon aethereus,Phaethontiformes,Phaethontidae (Tropicbirds)
Black-backed Woodpecker,Picoides arcticus,Piciformes,Picidae (Woodpeckers)
Spruce Grouse,Falcipennis canadensis,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Rufous-backed Robin,Turdus rufopalliatus,Passeriformes,Turdidae (Thrushes and Allies)
Golden Pheasant,Chrysolophus pictus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Groove-billed Ani,Crotophaga sulcirostris,Cuculiformes,Cuculidae (Cuckoos)
Ruddy Shelduck,Tadorna ferruginea,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Blue-and-yellow Macaw,Ara ararauna,Psittaciformes,Psittacidae (New World and African Parrots)
Green Peafowl,Pavo muticus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Ringed Teal,Callonetta leucophrys,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Scarlet Macaw,Ara macao,Psittaciformes,Psittacidae (New World and African Parrots)
Northern Wheatear,Oenanthe oenanthe,Passeriformes,Muscicapidae (Old World Flycatchers)
Olive Sparrow,Arremonops rufivirgatus,Passeriformes,Passerellidae (New World Sparrows)
Common Myna,Acridotheres tristis,Passeriformes,Sturnidae (Starlings)
Gray-headed Swamphen,Porphyrio poliocephalus,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
Shiny Cowbird,Molothrus bonariensis,Passeriformes,Icteridae (Troupials and Allies)
Short-tailed Hawk,Buteo brachyurus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Snail Kite,Rostrhamus sociabilis,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Red-flanked Bluetail,Tarsiger cyanurus,Passeriformes,Muscicapidae (Old World Flycatchers)
White-headed Woodpecker,Dryobates albolarvatus,Piciformes,Picidae (Woodpeckers)
Abert's Towhee,Melozone aberti,Passeriformes,Passerellidae (New World Sparrows)
Botteri's Sparrow,Peucaea botterii,Passeriformes,Passerellidae (New World Sparrows)
Gila Woodpecker,Melanerpes uropygialis,Piciformes,Picidae (Woodpeckers)
Gray Hawk,Buteo plagiatus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Northern Beardless-Tyrannulet,Camptostoma imberbe,Passeriformes,Tyrannidae (Tyrant Flycatchers)
Rufous-winged Sparrow,Peucaea carpalis,Passeriformes,Passerellidae (New World Sparrows)
Sharp-tailed Grouse,Tympanuchus phasianellus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Bridled Titmouse,Baeolophus wollweberi,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)"
Mexican Jay,Aphelocoma wollweberi,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
Montezuma Quail,Cyrtonyx montezumae,Galliformes,Odontophoridae (New World Quail)
Varied Bunting,Passerina versicolor,Passeriformes,Cardinalidae (Cardinals and Allies)
Violet-crowned Hummingbird,Amazilia violiceps,Caprimulgiformes,Trochilidae (Hummingbirds)
Mountain Quail,Oreortyx pictus,Galliformes,Odontophoridae (New World Quail)
American Flamingo,Phoenicopterus ruber,Phoenicopteriformes,Phoenicopteridae (Flamingos)
Black-whiskered Vireo,Vireo altiloquus,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)"
Cockatiel,Nymphicus hollandicus,Psittaciformes,Cacatuidae (Cockatoos)
Florida Scrub-Jay,Aphelocoma coerulescens,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
Mangrove Cuckoo,Coccyzus minor,Cuculiformes,Cuculidae (Cuckoos)
Military Macaw,Ara militaris,Psittaciformes,Psittacidae (New World and African Parrots)
Red-and-green Macaw,Ara chloropterus,Psittaciformes,Psittacidae (New World and African Parrots)
Smooth-billed Ani,Crotophaga ani,Cuculiformes,Cuculidae (Cuckoos)
Sulphur-bellied Flycatcher,Myiodynastes luteiventris,Passeriformes,Tyrannidae (Tyrant Flycatchers)
White-crowned Pigeon,Patagioenas leucocephala,Columbiformes,Columbidae (Pigeons and Doves)
Yellow-headed Parrot,Amazona oratrix,Psittaciformes,Psittacidae (New World and African Parrots)
European Goldfinch,Carduelis carduelis,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)"
Red Junglefowl,Gallus gallus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Boreal Owl,Aegolius funereus,Strigiformes,Strigidae (Owls)
African Collared-Dove,Streptopelia roseogrisea,Columbiformes,Columbidae (Pigeons and Doves)
Ruddy Ground-Dove,Columbina talpacoti,Columbiformes,Columbidae (Pigeons and Doves)
Red-necked Stint,Calidris ruficollis,Charadriiformes,Scolopacidae (Sandpipers and Allies)
Sooty Grouse,Dendragapus fuliginosus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Altamira Oriole,Icterus gularis,Passeriformes,Icteridae (Troupials and Allies)
Amazon Kingfisher,Chloroceryle amazona,Coraciiformes,Alcedinidae (Kingfishers)
Aplomado Falcon,Falco femoralis,Falconiformes,Falconidae (Falcons and Caracaras)
Clay-colored Thrush,Turdus grayi,Passeriformes,Turdidae (Thrushes and Allies)
Common Pauraque,Nyctidromus albicollis,Caprimulgiformes,Caprimulgidae (Nightjars and Allies)
Dusky-capped Flycatcher,Myiarchus tuberculifer,Passeriformes,Tyrannidae (Tyrant Flycatchers)
Golden-crowned Warbler,Basileuterus culicivorus,Passeriformes,Parulidae (New World Warblers)
Hook-billed Kite,Chondrohierax uncinatus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Plain Chachalaca,Ortalis vetula,Galliformes,"Cracidae (Guans, Chachalacas, and Curassows)"
Red-crowned Parrot,Amazona viridigenalis,Psittaciformes,Psittacidae (New World and African Parrots)
Red-lored Parrot,Amazona autumnalis,Psittaciformes,Psittacidae (New World and African Parrots)
Red-masked Parakeet,Psittacara erythrogenys,Psittaciformes,Psittacidae (New World and African Parrots)
Rose-throated Becard,Pachyramphus aglaiae,Passeriformes,Tityridae (Tityras and Allies)
Sulphur-crested Cockatoo,Cacatua galerita,Psittaciformes,Cacatuidae (Cockatoos)
Tamaulipas Crow,Corvus imparatus,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
White-crowned Parrot,Pionus senilis,Psittaciformes,Psittacidae (New World and African Parrots)
White-fronted Parrot,Amazona albifrons,Psittaciformes,Psittacidae (New World and African Parrots)
Yellow-crowned Parrot,Amazona ochrocephala,Psittaciformes,Psittacidae (New World and African Parrots)
Yellow-green Vireo,Vireo flavoviridis,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)"
Yellow-lored Parrot,Amazona xantholora,Psittaciformes,Psittacidae (New World and African Parrots)
Bendire's Thrasher,Toxostoma bendirei,Passeriformes,Mimidae (Mockingbirds and Thrashers)
Gilded Flicker,Colaptes chrysoides,Piciformes,Picidae (Woodpeckers)
Ridgway's Rail,Rallus obsoletus,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
Garganey,Spatula querquedula,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
California Gnatcatcher,Polioptila californica,Passeriformes,Polioptilidae (Gnatcatchers)
Blue-crowned Parakeet,Thectocercus acuticaudatus,Psittaciformes,Psittacidae (New World and African Parrots)
Giant Wood-Rail,Aramides ypecaha,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
Great White Pelican,Pelecanus onocrotalus,Pelecaniformes,Pelecanidae (Pelicans)
Russet-naped Wood-Rail,Aramides albiventris,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)"
Scarlet Ibis,Eudocimus ruber,Pelecaniformes,Threskiornithidae (Ibises and Spoonbills)
Eastern Yellow Wagtail,Motacilla tschutschensis,Passeriformes,Motacillidae (Wagtails and Pipits)
Greater Flamingo,Phoenicopterus roseus,Phoenicopteriformes,Phoenicopteridae (Flamingos)
Ivory Gull,Pagophila eburnea,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
Lesser Flamingo,Phoeniconaias minor,Phoenicopteriformes,Phoenicopteridae (Flamingos)
Blue Bunting,Cyanocompsa parellina,Passeriformes,Cardinalidae (Cardinals and Allies)
Northern Jacana,Jacana spinosa,Charadriiformes,Jacanidae (Jacanas)
Greater Sage-Grouse,Centrocercus urophasianus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Common Crane,Grus grus,Gruiformes,Gruidae (Cranes)
Common Scoter,Melanitta nigra,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Eurasian Skylark,Alauda arvensis,Passeriformes,Alaudidae (Larks)
White Wagtail,Motacilla alba,Passeriformes,Motacillidae (Wagtails and Pipits)
Rufous-capped Warbler,Basileuterus rufifrons,Passeriformes,Parulidae (New World Warblers)
Morelet's Seedeater,Sporophila morelleti,Passeriformes,Thraupidae (Tanagers and Allies)
LeConte's Thrasher,Toxostoma lecontei,Passeriformes,Mimidae (Mockingbirds and Thrashers)
Little Egret,Egretta garzetta,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)"
Northern Lapwing,Vanellus vanellus,Charadriiformes,Charadriidae (Plovers and Lapwings)
Black-necked Swan,Cygnus melancoryphus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Common Shelduck,Tadorna tadorna,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Little Stint,Calidris minuta,Charadriiformes,Scolopacidae (Sandpipers and Allies)
Lanner Falcon,Falco biarmicus,Falconiformes,Falconidae (Falcons and Caracaras)
Olive Warbler,Peucedramus taeniatus,Passeriformes,Peucedramidae (Olive Warbler)
Red-faced Warbler,Cardellina rubrifrons,Passeriformes,Parulidae (New World Warblers)
Thick-billed Kingbird,Tyrannus crassirostris,Passeriformes,Tyrannidae (Tyrant Flycatchers)
White-eared Hummingbird,Hylocharis leucotis,Caprimulgiformes,Trochilidae (Hummingbirds)
Yellow-eyed Junco,Junco phaeonotus,Passeriformes,Passerellidae (New World Sparrows)
Brown Noddy,Anous stolidus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
Great Tit,Parus major,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)"
Abdim's Stork,Ciconia abdimii,Ciconiiformes,Ciconiidae (Storks)
Pink-backed Pelican,Pelecanus rufescens,Pelecaniformes,Pelecanidae (Pelicans)
Yellow-billed Stork,Mycteria ibis,Ciconiiformes,Ciconiidae (Storks)
Bridled Tern,Onychoprion anaethetus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
Blue-bellied Roller,Coracias cyanogaster,Coraciiformes,Coraciidae (Rollers)
Blue-faced Honeyeater,Entomyzon cyanotis,Passeriformes,Meliphagidae (Honeyeaters)
Baird's Sparrow,Centronyx bairdii,Passeriformes,Passerellidae (New World Sparrows)
White-faced Whistling-Duck,Dendrocygna viduata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Laughing Dove,Streptopelia senegalensis,Columbiformes,Columbidae (Pigeons and Doves)
Ross's Gull,Rhodostethia rosea,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
Alexandrine Parakeet,Psittacula eupatria,Psittaciformes,Psittaculidae (Old World Parrots)
Elf Owl,Micrathene whitneyi,Strigiformes,Strigidae (Owls)
Black-rumped Waxbill,Estrilda troglodytes,Passeriformes,Estrildidae (Waxbills and Allies)
Bronze Mannikin,Spermestes cucullata,Passeriformes,Estrildidae (Waxbills and Allies)
Greater Prairie-Chicken,Tympanuchus cupido,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
Indian Silverbill,Euodice malabarica,Passeriformes,Estrildidae (Waxbills and Allies)
Lilian's Lovebird,Agapornis lilianae,Psittaciformes,Psittaculidae (Old World Parrots)
Magpie Mannikin,Spermestes fringilloides,Passeriformes,Estrildidae (Waxbills and Allies)
Piratic Flycatcher,Legatus leucophaius,Passeriformes,Tyrannidae (Tyrant Flycatchers)
Red-vented Bulbul,Pycnonotus cafer,Passeriformes,Pycnonotidae (Bulbuls)
Western Red-billed Hornbill,Tockus kempi,Bucerotiformes,Bucerotidae (Hornbills)
White-winged Parakeet,Brotogeris versicolurus,Psittaciformes,Psittacidae (New World and African Parrots)
Yellow-chevroned Parakeet,Brotogeris chiriri,Psittaciformes,Psittacidae (New World and African Parrots)
Australian Shelduck,Tadorna tadornoides,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Black-capped Catbird,Ailuroedus melanocephalus,Passeriformes,Ptilonorhynchidae (Bowerbirds)
Antillean Nighthawk,Chordeiles gundlachii,Caprimulgiformes,Caprimulgidae (Nightjars and Allies)
Bahama Mockingbird,Mimus gundlachii,Passeriformes,Mimidae (Mockingbirds and Thrashers)
Cuban Vireo,Vireo gundlachii,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)"
La Sagra's Flycatcher,Myiarchus sagrae,Passeriformes,Tyrannidae (Tyrant Flycatchers)
Masked Duck,Nomonyx dominicus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Paradise Tanager,Tangara chilensis,Passeriformes,Thraupidae (Tanagers and Allies)
Thick-billed Vireo,Vireo crassirostris,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)"
Tricolored Munia,Lonchura malacca,Passeriformes,Estrildidae (Waxbills and Allies)
Western Spindalis,Spindalis zena,Passeriformes,Spindalidae (Spindalises)
Emu,Dromaius novaehollandiae,Casuariiformes,Casuariidae (Cassowaries and Emu)
Common Ostrich,Struthio camelus,Struthioniformes,Struthionidae (Ostriches)
Common Hill Myna,Gracula religiosa,Passeriformes,Sturnidae (Starlings)
Coscoroba Swan,Coscoroba coscoroba,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Bahama Woodstar,Calliphlox evelynae,Caprimulgiformes,Trochilidae (Hummingbirds)
Crimson-collared Grosbeak,Rhodothraupis celaeno,Passeriformes,Cardinalidae (Cardinals and Allies)
Red-billed Pigeon,Patagioenas flavirostris,Columbiformes,Columbidae (Pigeons and Doves)
Hooded Crane,Grus monacha,Gruiformes,Gruidae (Cranes)
White-winged Tern,Chlidonias leucopterus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
Bahama Swallow,Tachycineta cyaneoviridis,Passeriformes,Hirundinidae (Swallows)
Swallow-tailed Gull,Creagrus furcatus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
Aztec Thrush,Ridgwayia pinicola,Passeriformes,Turdidae (Thrushes and Allies)
Bare-throated Tiger-Heron,Tigrisoma mexicanum,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)"
Black-vented Oriole,Icterus wagleri,Passeriformes,Icteridae (Troupials and Allies)
Collared Plover,Charadrius collaris,Charadriiformes,Charadriidae (Plovers and Lapwings)
Ferruginous Pygmy-Owl,Glaucidium brasilianum,Strigiformes,Strigidae (Owls)
Gray-crowned Yellowthroat,Geothlypis poliocephala,Passeriformes,Parulidae (New World Warblers)
Green-breasted Mango,Anthracothorax prevostii,Caprimulgiformes,Trochilidae (Hummingbirds)
Red-legged Honeycreeper,Cyanerpes cyaneus,Passeriformes,Thraupidae (Tanagers and Allies)
Roadside Hawk,Rupornis magnirostris,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
White-throated Thrush,Turdus assimilis,Passeriformes,Turdidae (Thrushes and Allies)
Green Sandpiper,Tringa ochropus,Charadriiformes,Scolopacidae (Sandpipers and Allies)
Bananaquit,Coereba flaveola,Passeriformes,Thraupidae (Tanagers and Allies)
Black-faced Grassquit,Tiaris bicolor,Passeriformes,Thraupidae (Tanagers and Allies)
Common Pochard,Aythya ferina,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Crimson-fronted Parakeet,Psittacara finschi,Psittaciformes,Psittacidae (New World and African Parrots)
Cuban Bullfinch,Melopyrrha nigra,Passeriformes,Thraupidae (Tanagers and Allies)
Cuban Grassquit,Tiaris canorus,Passeriformes,Thraupidae (Tanagers and Allies)
Cuban Pewee,Contopus caribaeus,Passeriformes,Tyrannidae (Tyrant Flycatchers)
Fischer's Lovebird,Agapornis fischeri,Psittaciformes,Psittaculidae (Old World Parrots)
Great Black Hawk,Buteogallus urubitinga,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)"
Hottentot Teal,Spatula hottentota,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Key West Quail-Dove,Geotrygon chrysia,Columbiformes,Columbidae (Pigeons and Doves)
Lavender Waxbill,Estrilda caerulescens,Passeriformes,Estrildidae (Waxbills and Allies)
Lesser Whistling-Duck,Dendrocygna javanica,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Loggerhead Kingbird,Tyrannus caudifasciatus,Passeriformes,Tyrannidae (Tyrant Flycatchers)
Mealy Parrot,Amazona farinosa,Psittaciformes,Psittacidae (New World and African Parrots)
Orange-winged Parrot,Amazona amazonica,Psittaciformes,Psittacidae (New World and African Parrots)
Plumed Whistling-Duck,Dendrocygna eytoni,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Red-billed Firefinch,Lagonosticta senegala,Passeriformes,Estrildidae (Waxbills and Allies)
Red-breasted Parakeet,Psittacula alexandri,Psittaciformes,Psittaculidae (Old World Parrots)
Red-cheeked Cordonbleu,Uraeginthus bengalus,Passeriformes,Estrildidae (Waxbills and Allies)
Red-whiskered Bulbul,Pycnonotus jocosus,Passeriformes,Pycnonotidae (Bulbuls)
Rosy-billed Pochard,Netta peposaca,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Ruddy Quail-Dove,Geotrygon montana,Columbiformes,Columbidae (Pigeons and Doves)
Scaly-headed Parrot,Pionus maximiliani,Psittaciformes,Psittacidae (New World and African Parrots)
Scarlet-fronted Parakeet,Psittacara wagleri,Psittaciformes,Psittacidae (New World and African Parrots)
Spot-breasted Oriole,Icterus pectoralis,Passeriformes,Icteridae (Troupials and Allies)
Tropical Mockingbird,Mimus gilvus,Passeriformes,Mimidae (Mockingbirds and Thrashers)
Turquoise-fronted Parrot,Amazona aestiva,Psittaciformes,Psittacidae (New World and African Parrots)
Variegated Flycatcher,Empidonomus varius,Passeriformes,Tyrannidae (Tyrant Flycatchers)
Village Weaver,Ploceus cucullatus,Passeriformes,Ploceidae (Weavers and Allies)
White-eyed Parakeet,Psittacara leucophthalmus,Psittaciformes,Psittacidae (New World and African Parrots)
White-tailed Tropicbird,Phaethon lepturus,Phaethontiformes,Phaethontidae (Tropicbirds)
Yellow-collared Lovebird,Agapornis personatus,Psittaciformes,Psittaculidae (Old World Parrots)
Yellow-fronted Parrot,Poicephalus flavifrons,Psittaciformes,Psittacidae (New World and African Parrots)
Yellow-naped Parrot,Amazona auropalliata,Psittaciformes,Psittacidae (New World and African Parrots)
Zenaida Dove,Zenaida aurita,Columbiformes,Columbidae (Pigeons and Doves)
Black-billed Cuckoo-Dove,Macropygia nigrirostris,Columbiformes,Columbidae (Pigeons and Doves)
Red-browed Firetail,Neochmia temporalis,Passeriformes,Estrildidae (Waxbills and Allies)
Baikal Teal,Sibirionetta formosa,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Fieldfare,Turdus pilaris,Passeriformes,Turdidae (Thrushes and Allies)
Ferruginous Duck,Aythya nyroca,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Red-legged Kittiwake,Rissa brevirostris,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)"
Yellow Grosbeak,Pheucticus chrysopeplus,Passeriformes,Cardinalidae (Cardinals and Allies)
Lesser Sand-Plover,Charadrius mongolus,Charadriiformes,Charadriidae (Plovers and Lapwings)
Little Bunting,Emberiza pusilla,Passeriformes,Emberizidae (Old World Buntings)
Village Indigobird,Vidua chalybeata,Passeriformes,Viduidae (Indigobirds)
European Turtle-Dove,Streptopelia turtur,Columbiformes,Columbidae (Pigeons and Doves)
Bar-headed Goose,Anser indicus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Smew,Mergellus albellus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
